func_name,elapsed_time,device_str,num_neurons,connection_prob,timestep,min_delay,max_delay,mean_spikes_per_neuron,mean_spikes_per_bin
clock_driven_dense,0.13630080223083496,cpu,10,0.01,0.001,0.002,0.004,0.0,0.0
clock_driven_dense,0.13396954536437988,cpu,10,0.05,0.001,0.002,0.004,0.0,0.0
clock_driven_dense,0.11610817909240723,cpu,10,0.1,0.001,0.002,0.004,0.4000000059604645,0.03999999910593033
clock_driven_dense,0.11540484428405762,cpu,10,0.2,0.001,0.002,0.004,4.800000190734863,0.47999998927116394
clock_driven_dense,0.12001299858093262,cpu,10,0.3,0.001,0.002,0.004,8.800000190734863,0.8799999952316284
clock_driven_dense,0.11694622039794922,cpu,10,0.4,0.001,0.002,0.004,11.600000381469727,1.159999966621399
clock_driven_dense,0.11606836318969727,cpu,10,0.5,0.001,0.002,0.004,13.899999618530273,1.3899999856948853
clock_driven_dense,0.11560869216918945,cpu,10,0.75,0.001,0.002,0.004,19.100000381469727,1.909999966621399
clock_driven_dense,0.11512470245361328,cpu,10,1,0.001,0.002,0.004,24.600000381469727,2.4600000381469727
clock_driven_dense,3.889026403427124,cpu,100,0.01,0.001,0.002,0.004,0.6100000143051147,0.6100000143051147
clock_driven_dense,3.628040075302124,cpu,100,0.05,0.001,0.002,0.004,14.59000015258789,14.59000015258789
clock_driven_dense,3.686732769012451,cpu,100,0.1,0.001,0.002,0.004,24.540000915527344,24.540000915527344
clock_driven_dense,3.77785587310791,cpu,100,0.2,0.001,0.002,0.004,27.25,27.25
clock_driven_dense,3.721224069595337,cpu,100,0.3,0.001,0.002,0.004,31.170000076293945,31.170000076293945
clock_driven_dense,3.6760523319244385,cpu,100,0.4,0.001,0.002,0.004,36.029998779296875,36.029998779296875
clock_driven_dense,4.470964193344116,cpu,100,0.5,0.001,0.002,0.004,37.79999923706055,37.79999923706055
clock_driven_dense,3.7875564098358154,cpu,100,0.75,0.001,0.002,0.004,40.4900016784668,40.4900016784668
clock_driven_dense,3.8106372356414795,cpu,100,1,0.001,0.002,0.004,41.36000061035156,41.36000061035156
clock_driven_dense,0.9650285243988037,cpu,1000,0.01,0.001,0.002,0.004,24.422000885009766,244.22000122070312
clock_driven_dense,1.0193893909454346,cpu,1000,0.05,0.001,0.002,0.004,38.345001220703125,383.45001220703125
clock_driven_dense,0.9869301319122314,cpu,1000,0.1,0.001,0.002,0.004,41.60499954223633,416.04998779296875
clock_driven_dense,0.9720704555511475,cpu,1000,0.2,0.001,0.002,0.004,44.07500076293945,440.75
clock_driven_dense,1.0590136051177979,cpu,1000,0.3,0.001,0.002,0.004,45.01900100708008,450.19000244140625
clock_driven_dense,1.0922861099243164,cpu,1000,0.4,0.001,0.002,0.004,45.066001892089844,450.6600036621094
clock_driven_dense,0.9730806350708008,cpu,1000,0.5,0.001,0.002,0.004,46.00699996948242,460.07000732421875
clock_driven_dense,0.9701869487762451,cpu,1000,0.75,0.001,0.002,0.004,46.07099914550781,460.7099914550781
clock_driven_dense,0.9900095462799072,cpu,1000,1,0.001,0.002,0.004,47.00400161743164,470.0400085449219
clock_driven_dense,88.69996643066406,cpu,10000,0.01,0.001,0.002,0.004,41.612300872802734,4161.22998046875
clock_driven_dense,87.42695569992065,cpu,10000,0.05,0.001,0.002,0.004,46.00579833984375,4600.580078125
clock_driven_dense,85.42314052581787,cpu,10000,0.1,0.001,0.002,0.004,47.001800537109375,4700.18017578125
clock_driven_dense,86.54057431221008,cpu,10000,0.2,0.001,0.002,0.004,47.45610046386719,4745.60986328125
clock_driven_dense,94.42554640769958,cpu,10000,0.3,0.001,0.002,0.004,48.000099182128906,4800.009765625
